Structure [idcode],Structure No,Catalog ID,Plate_ID,Well,"V, ÂµL","Conc, mM",Formula,SMILES,MW,Purity,PO,MW_salt,Stereochem.data,Geometric.isomer,Chemical name,ClogP,logS,HBD,HBA,TPSA,RotBonds,% inh rep1,% inh rep2
dcMDPJYL@HbPrRRqJI\LluUH@@ !BYrqSYqaSKAaeX@C~FBpZXBqg?`A`F`,499,Z4497136694,1907006-Y10-02,C14,10,10,C6H9FN2O2S,Cc([n]1C)c(C)nc1S(F)(=O)=O,192.2113,100,27521095,0,Achiral,None,trimethyl-1H-imidazole-2-sulfonyl fluoride,"0,907","-1,003",0,3,"51,96",1,11.35029354,2.352193261
dg\BpND{BHTHvPrJJIQURMLDCEJ@@ !Bmwvw@oy??`Bw_[]}mpJH@oy?mww}bK]}@k\,500,Z1269225985,1907006-Y10-02,D14,10,10,C7H4ClFO4S,OC(c(cc(cc1)S(F)(=O)=O)c1Cl)=O,238.6207,95,27521095,0,Achiral,None,2-chloro-5-(fluorosulfonyl)benzoic acid,"2,444","-2,723",1,4,"71,44",2,15.73178594,9.431438127
dcNLPJSE@HbPrRRqIYCLl@E@@@ !B_?{~_pC~?`BH@k\B?`C~@K\B?`BH@`,501,Z3016191975,1907006-Y10-02,E14,10,10,C6H6FNO3S,COc(cc1)cnc1S(F)(=O)=O,191.1801,100,27521095,0,Achiral,None,5-methoxypyridine-2-sulfonyl fluoride,"1,483","-1,263",0,4,"56,26",2,15.60283688,15.58528428
fhq`RbGHqxH@bDajPMHVdGRGlddlTRTb\djV@`jf@@@ !B?[^H_PJHmpJw__x@mpK~_{\B?`C~_vAe_?{~@K\Bb@H,502,Z3396482545,1907006-Y10-02,F14,10,10,C7H3F4NO4S,[O-][N+](c1cc(S(F)(=O)=O)c(C(F)(F)F)cc1)=O,273.1616,99.4,27521095,0,Achiral,None,5-nitro-2-(trifluoromethyl)benzene-1-sulfonyl fluoride,"2,431","-3,669",0,4,"77,28",3,22.1792392,7.424749164
dcMDPJYL@HbPrRRqJF\LluUH@@ !BFa}`FfU`GvUeGv\l_?ygT?x@m?rH?@,503,Z2517896930,1907006-Y10-02,G14,10,10,C6H9FN2O2S,CC(C)[n]1c(S(F)(=O)=O)ncc1,192.2113,100,27521095,0,Achiral,None,1-(propan-2-yl)-1H-imidazole-2-sulfonyl fluoride,"1,257","-1,184",0,3,"51,96",2,0.773014758,-1.656726309
fdi`c@@xHBH`DHdLBdebRrbbTeAcK@AMUD@@ !B_sXBRC\B_S]H_T`B?k}H_Ta}?k}H_T`B?k}H__z@RGw~op,504,Z7965133546,1907006-Y10-02,H14,10,10,C12H15ClFNO2S,CC(CCNC1)=C1c(cc1)ccc1S(F)(=O)=O.Cl,291.7694,100,27521095,36.4609,Achiral,None,"4-(4-methyl-1,2,5,6-tetrahydropyridin-3-yl)benzene-1-sulfonyl fluoride hydrochloride","3,071","-2,845",1,3,"46,17",2,9.205903022,11.59708416
dg}DPJYL@HbPrRRqJIY\IwKMT@@@@ !B?g|@?ox@_?ySFEMgGvT_Fah_m?rw?[]}m?p,505,Z3033136965,1907006-Y10-02,I14,10,10,C8H7FN2O2S,C[n]1c(S(F)(=O)=O)nc2c1cccc2,214.2168,94.22,27521095,0,Achiral,None,"1-methyl-1H-1,3-benzodiazole-2-sulfonyl fluoride","2,013","-2,33",0,3,"51,96",1,12.66149871,5.841269841
fdqp``IFbR`HbDP`HqHXAiIXdehdeZCFV@Bjh`@@ !BY_yq}_x@@Oy??oy?m?vH?_y??g~H_Xa}?g~H@ha}bGvH@`,506,Z7930620758,1907006-Y10-02,J14,10,10,C9H14Cl2FN3O2S,O=S(c1cncc(N2CCNCC2)c1)(F)=O.Cl.Cl,318.1958,95,27521095,36.4609,Achiral,None,5-(piperazin-1-yl)pyridine-3-sulfonyl fluoride dihydrochloride,"1,014","-1,769",1,5,"62,3",2,5.813953488,8.634920635
dg]BPJELtpBHdLddlRbtHkK@DM@@@ !B@k^H@ovHmww~_{\Bmwvw__x@mpJH@k\B?`@,507,Z4439786021,1907006-Y10-02,K14,10,10,C6H5FN2O4S,COC(c1nccnc1S(F)(=O)=O)=O,220.1783,100,27521095,0,Achiral,None,methyl 3-(fluorosulfonyl)pyrazine-2-carboxylate,"-1,059","-0,606",0,5,"86,22",3,4.74916388,5.738705739
foA@``KNAbDBEAAiAIfUmzYK`hHJJeD@@ !B?g~H_[]}XAk~_?y?KF]`Y[_}@OxZG?y?@O{~@@,508,Z5422461759,1907006-Y10-02,L14,10,10,C9H6BrFO2S2,Cc(c1cccc(Br)c1[s]1)c1S(F)(=O)=O,309.1751,99.69,27521095,0,Achiral,None,7-bromo-3-methyl-1-benzothiophene-2-sulfonyl fluoride,"4,815","-5,124",0,2,"34,14",1,52.77591973,55.06715507
dcNDpFePbBBAdDfYfem``iP@@ !Bmww~_{\BbGvw_[]}?`C}mxa}@hbw@`,509,Z4443012468,1907006-Y10-02,M14,10,10,C6H5ClFNO2S,Cc1nccc(S(F)(=O)=O)c1Cl,209.6258,95,27521095,0,Achiral,None,3-chloro-2-methylpyridine-4-sulfonyl fluoride,"1,962","-1,619",0,3,"47,03",1,5.685618729,1.098901099
dg^DHKp`bHBDdFBLBdebRRPr]rtuUL@@ !Bc_x@?oy??`A??eMgTq`_Fa}emwvw@k\Bmwt,510,Z8417641408,1907006-Y10-02,N14,10,10,C7H9ClFNO2S2,O=S(c1cc(CNCC2)c2[s]1)(F)=O.Cl,257.7333,100,27521095,36.4609,Achiral,None,"4H,5H,6H,7H-thieno[3,2-c]pyridine-2-sulfonyl fluoride hydrochloride","1,511","-2,456",1,3,"46,17",1,0.066050198,5.437665782
fj}qa@MF\cA@ADICIIJhheEeBdeV]{IYZBAbjjF@@ !BJ{n{UHPkUHS@fURDFa}eXLBYpIdlFA|ZFa}SFOx@QwMGCM?Fw}eml@,511,Z3919173620,1907006-Y10-02,O14,10,10,C13H14FN3O3S,O=S(Oc(cccc1)c1-c1nnc2[n]1CCCCC2)(F)=O,311.332,100,27521095,0,Achiral,None,"2-{5H,6H,7H,8H,9H-[1,2,4]triazolo[4,3-a]azepin-3-yl}phenyl sulfurofluoridate","0,843","-3,435",0,4,"74,08",3,3.104359313,5.968169761
foA`a@KHp@HaHYIIXheEiKQkRp@@D@@@ !B@O{~@G?~?g~H_[]}?g~H@oy?bOvw?Xa}b@K~_p,512,Z4083135238,1907006-Y10-02,P14,10,10,C10H8FNO2S,Cc1c(cccc2S(F)(=O)=O)c2ccn1,225.2394,100,27521095,0,Achiral,None,1-methylisoquinoline-5-sulfonyl fluoride,"2,641","-2,742",0,3,"47,03",1,18.06615776,13.40540541
fdyQc@FZQbP@bD`xHrRRiQQZYYZL{tmULmMT@@ !B@hbw?GvwbGvH?Ha}bOs~_?x@bGvH?_y?XAi`YRqg@OxBmp,513,Z3488615932,1907006-Y10-02,A15,10,10,C10H11FN2O3S2,CCc1cc(C(N(CCS(F)(=O)=O)C=N2)=O)c2[s]1,290.3343,100,27521095,0,Achiral,None,"2-{6-ethyl-4-oxo-3H,4H-thieno[2,3-d]pyrimidin-3-yl}ethane-1-sulfonyl fluoride","1,554","-3,408",0,4,"66,81",4,8.146639511,5.476529161
flepS@D\tRTT`qOA@YAIeu[evbTlzZZffjVP@@ !Bm?pq`L?MwzXkaK|qTqb?L\wOTqa??ai`YVAgKOx@?`@@?g?~,514,Z3271946440,1907006-Y10-02,B15,10,10,C9H7BrFN3O4S,O=C(c1cc(S(F)(=O)=O)c[nH]1)NCc1cc(Br)n[o]1,352.137,100,27521095,0,Achiral,None,"5-{[(3-bromo-1,2-oxazol-5-yl)methyl]carbamoyl}-1H-pyrrole-3-sulfonyl fluoride","1,746","-3,386",2,4,"105,06",4,2.348336595,4.640813732
f`q`Q@NHqKp@bDaddebrfbRYqwiZjZjj@@ !B?`@@?g?~?g~[fzR[iIo~_{_}bOw~_xc|bGvH?X`B,515,Z3488655048,1907006-Y10-02,C15,10,10,C9H14FNO4S,O=C(C1CCOCC1)N(C1)CC1S(F)(=O)=O,251.2752,100,27521095,0,Achiral,None,1-(oxane-4-carbonyl)azetidine-3-sulfonyl fluoride,"-0,739","-1,313",0,4,"63,68",2,5.348988911,-3.877940242
fjmaa@KHpX@QBPrRRqIYJZJYHTlee`@ij@@@@@ !B@O{~_w?~?`Bw@h`B?`C~@H`B?`Bw@k]}?`Bw@h`B?`Bw_[\BmpJw_P,516,Z2901809726,1907006-Y10-02,D15,10,10,C15H14FNO3S,CN(C(Cc(cc1)ccc1S(F)(=O)=O)=O)c1ccccc1,307.34,90.26,27521095,0,Achiral,None,4-{[methyl(phenyl)carbamoyl]methyl}benzene-1-sulfonyl fluoride,"3,038","-3,532",0,3,"54,45",4,-2.192134107,0.735785953
fdy`Q@IHqjH@bDaddebRrfbREHLYZjijjh@@ !B?`@@?g?~?g~w?Xc}?g?~_xc}?g~w_Xa}?g~H@hc}bGvH?@,517,Z2940563468,1907006-Y10-02,E15,10,10,C11H18FNO4S,O=C(C1CCOCC1)N(CC1)CCC1S(F)(=O)=O,279.3283,95.18,27521095,0,Achiral,None,1-(oxane-4-carbonyl)piperidine-4-sulfonyl fluoride,"-1,654","-1,28",0,4,"63,68",2,11.99226306,6.622073579
fhi`S@GJtZpLQ`QJPrJIJIRIRzgOA`BJVZb@@ !Bm?w~_{\Bm?vw?_y?mpIGCOy?_?x@?d]sqlC_v]?F[X|,518,Z2907454314,1907006-Y10-02,F15,10,10,C9H7BrFNO4S,O=C(c1cc(Br)c2)NCCOc1c2S(F)(=O)=O,324.1236,100,27521095,0,Achiral,None,"7-bromo-5-oxo-2,3,4,5-tetrahydro-1,4-benzoxazepine-9-sulfonyl fluoride","2,486","-3,24",1,4,"72,47",1,0.491918482,11.46454606
fle`Q@EHpYH@bDaddeTRVTtRTeQSKUUSUUP@@ !Bb@HBm?vHmww~_{_}bOw~_?y?bOw~_{]}bGw~_x`BbOvH_Xc|,519,Z3488657064,1907006-Y10-02,G15,10,10,C12H20FNO4S,O=C(C1CCOCC1)N1CCC(CS(F)(=O)=O)CC1,293.3549,100,27521095,0,Achiral,None,[1-(oxane-4-carbonyl)piperidin-4-yl]methanesulfonyl fluoride,"-1,035","-1,251",0,4,"63,68",3,0.773014758,3.114645461
fhiAa@DXt@HaHYIIXdieDTJQgRp@UUQ@@@ !B@hbw@gvwbGvH@oy?bGvH?_y?b@JH?Xa}?`BH?Hc}?g|,520,Z3037615603,1907006-Y10-02,H15,10,10,C12H15FO3S,CCC(CC1C)Oc(cc2)c1cc2S(F)(=O)=O,258.3091,90,27521095,0,Diastereomeric mixture,Unequal mixture of geometric isomers,"2-ethyl-4-methyl-3,4-dihydro-2H-1-benzopyran-6-sulfonyl fluoride","4,69","-3,447",0,3,"43,37",2,-13.14125088,-4.174950298
dknBpASEt@bIBPcIIJhliNFVjiZ@@ !B?Xbw_PJwbOs~@IndiJRdiOx@@Oy??ox@,521,Z2907453044,1907006-Y10-02,I15,10,10,C5H10FNO4S2,CS(N1CC(CS(F)(=O)=O)C1)(=O)=O,231.2656,90,27521095,0,Achiral,None,(1-methanesulfonylazetidin-3-yl)methanesulfonyl fluoride,"-0,039","-0,682",0,4,"71,52",2,3.746770026,7.492063492
foAAS@BBUYpHcPPZPrJJIJJjQdnB``hjT`@@ !B?g~H_[]}XAk~_?y?KF]`Y[]}mwvw@k\B?Ha}mp,522,Z3919185170,1907006-Y10-02,J15,10,10,C7H4ClFO5S,O=S(Oc1cc(Cl)c2OCOc2c1)(F)=O,254.6201,91,27521095,0,Achiral,None,"7-chloro-1,3-dioxaindan-5-yl sulfurofluoridate","1,316","-3,377",0,4,"61,83",2,-8.26873385,-7.492063492
dklBpHSS@HdHVPrRPiYJQnVjje`@ !BmGbK^Ha}mww~_?y?mww~_{_}m?w}bOrw,523,Z2733304944,1907006-Y10-02,K15,10,10,C6H11FO4S2,O=S(CC(CC1)CCS1(=O)=O)(F)=O,230.2775,90,27521095,0,Achiral,None,"(1,1-dioxo-1lambda6-thian-4-yl)methanesulfonyl fluoride","-1,073","-0,972",0,4,"68,28",2,7.558528428,8.180708181
ff}PQ@KIQ`tPADICIIKDedieEEdJQZrp@TuSUEAu@@ !B?`@@?g?~?g~w_Xa}?g?~_xa}?g~H_X`B?g~H_VclDW}I`F@eQJnJkx@v,524,Z2936916677,1907006-Y10-02,L15,10,10,C14H17FN2O4S,O=C(Cc(cc1)ccc1S(F)(=O)=O)NC(CCCCN1)C1=O,328.3592,100,27521095,0,Racemic or presumed racemic or meso,None,4-{[(2-oxoazepan-3-yl)carbamoyl]methyl}benzene-1-sulfonyl fluoride,"1,297","-2,423",2,4,"92,34",4,-6.889632107,-0.366300366
fdy`S@CHpkP@bDapHrRRqQJQVYRlFLlDBqUD@@ !BbGu}m?rHm?rw?_x@?g~w?K_|XFU??oy??`AgTqaSFa}eGp,525,Z2759636127,1907006-Y10-02,M15,10,10,C10H12FNO4S2,O=S(c(cccc1)c1S(F)(=O)=O)(N1CCCC1)=O,293.335,100,27521095,0,Achiral,None,2-(pyrrolidine-1-sulfonyl)benzene-1-sulfonyl fluoride,"2,134","-2,474",0,4,"71,52",2,8.494983278,5.006105006
foA@c@DX@DPdMAFRRVIJZYBUYtl@QMB@@ !Bb@HBmwvHmww~_{\Bmwvw__y?mpHXTv]SYQ|ZGp,526,Z2907414926,1907006-Y10-02,N15,10,10,C10H7FO2S2,O=S(c1cc(-c2ccc[s]2)ccc1)(F)=O,242.2898,91,27521095,0,Achiral,None,3-(thiophen-2-yl)benzene-1-sulfonyl fluoride,"4,07","-3,866",0,2,"34,14",2,6.671070013,3.713527851
fle`S@KHqhp@bD`hHrRRqIYRFIHThie`@ejjH@@ !B?`@@?g?~?g~w_Xa}?g?~_xc}?g|@?g?~?g~w_Xa}?g?~_xa},527,Z1761841972,1907006-Y10-02,O15,10,10,C11H14FNO4S2,O=S(c(cc1)ccc1S(F)(=O)=O)(N1CCCCC1)=O,307.3616,100,27521095,0,Achiral,None,4-(piperidine-1-sulfonyl)benzene-1-sulfonyl fluoride,"2,693","-2,75",0,4,"71,52",2,16.31439894,14.05835544
dcNLPJSM@HbPrRRqIPcLl@E@@@ !B?[^H_PJHmpK~@K]}mpJw@k]}?`Bw@`,528,Z3872624847,1907006-Y10-02,P15,10,10,C6H6FNO3S,OCc1cccc(S(F)(=O)=O)n1,191.1801,100,27521095,0,Achiral,None,6-(hydroxymethyl)pyridine-2-sulfonyl fluoride,"0,533",-1,1,4,"67,26",2,-9.541984733,5.621621622
dcNLPESI@HbPrRRqISBll@Q@@@ !B?Xbw_PJwb@K~@Ha}b@JH@ox@bGvH@`,529,Z3015839126,1907006-Y10-02,A16,10,10,C6H6FNO3S,COc1nccc(S(F)(=O)=O)c1,191.1801,100,27521095,0,Achiral,None,2-methoxypyridine-4-sulfonyl fluoride,"1,783","-1,263",0,4,"56,26",2,9.368635438,1.209103841
fbmPc@ENQ`@QBPsHYIIXheEedeiFlzJYXHIFiXh@@ !Bb@I}bK]}@k]}mpC~_?xBm?rwTv]SF@C~Gqh_Y[]}mpJw@k]}mpH,530,Z6051206423,1907006-Y10-02,B16,10,10,C13H8F2N2O2S,O=S(c(cccc1)c1-c1c[n](cc(cc2)F)c2n1)(F)=O,294.2766,95,27521095,0,Achiral,None,"2-{6-fluoroimidazo[1,2-a]pyridin-2-yl}benzene-1-sulfonyl fluoride","3,822","-4,076",0,3,"51,44",2,-7.82778865,8.073744437
fleQS@LF`atT`BOA@YCIICDhThTiF\uYZj@HjV@@@ !B?GC}\A_SZMM_zni_yU?{Zud@W~i_zomkVPA_zomkEOo{Zvox,531,Z3919179729,1907006-Y10-02,C16,10,10,C9H11FN2O5S2,Nc(cc(cc1)N(CCC2)S2(=O)=O)c1OS(F)(=O)=O,310.3224,92,27521095,0,Achiral,None,"2-amino-4-(1,1-dioxo-1lambda6,2-thiazolidin-2-yl)phenyl sulfurofluoridate","-1,711","-2,591",1,5,"106,77",3,51.79386823,31.08709472
dg^BqAWSlLQ`bY@YodfUekjz@HiV@@ !Bb@JH__x@b@JH@ha}?`C~@OvwbGtBbH`BmpH,532,Z2907419650,1907006-Y10-02,D16,10,10,C6H3BrFNO4S,[O-][N+](c1cc(Br)cc(S(F)(=O)=O)c1)=O,284.0597,95,27521095,0,Achiral,None,3-bromo-5-nitrobenzene-1-sulfonyl fluoride,"2,911","-3,671",0,4,"77,28",2,0,8.762541806
dcNDHBWPqNdABIdDfUWjf`@jT@@ !Bb@JH__x@b@JH@ox@?`BH@`Jwb@K}b@,533,Z3016191993,1907006-Y10-02,E16,10,10,C5H2BrF2NO2S,O=S(c(c(F)c1)ncc1Br)(F)=O,258.0407,100,27521095,0,Achiral,None,5-bromo-3-fluoropyridine-2-sulfonyl fluoride,"2,167","-2,642",0,3,"47,03",1,18.31076725,8.494983278
dcvDHMp`bHBDdFBLBdebRpsKSUH@@ !B]\egTrqgFBqSFAi`_?ygKFU`?`Bw@`,534,Z7612074209,1907006-Y10-02,F16,10,10,C5H7ClFNO2S2,NCc([s]1)ccc1S(F)(=O)=O.Cl,231.696,100,27521095,36.4609,Achiral,None,5-(aminomethyl)thiophene-2-sulfonyl fluoride hydrochloride,"1,01","-2,628",1,3,"60,16",2,-4.146170063,6.428098078
dmuDPFEL@HbPrRRjIHYeiih@@ !Bs}KMs}CMtmASFAi`_?ygKFU`?`@,535,Z2896135198,1907006-Y10-02,G16,10,10,C5H7FN2O2S,C[n]1nc(CS(F)(=O)=O)cc1,178.1847,96.71,27521095,0,Achiral,None,(1-methyl-1H-pyrazol-3-yl)methanesulfonyl fluoride,"-0,061","-0,026",0,3,"51,96",2,-4.146170063,0.596421471
f`a`qBNHpkSo@BHRGIuvRRVJIQURQiXHFI`@@ !B_?{~_pC~?`BH@k\BbGw~@Ox@b@K~_{\B?`Bw@h`B,536,Z2907431228,1907006-Y10-02,H16,10,10,C7H4FNO6S,[O-][N+](c(cc(cc1)C(O)=O)c1S(F)(=O)=O)=O,249.1732,100,27521095,0,Achiral,None,4-(fluorosulfonyl)-3-nitrobenzoic acid,"1,933","-2,685",1,6,"114,58",3,0.351370344,2.186878728
dknLpMSE@HbPzPrRRqQZZ]e``b@@ !B?[^H_PJHmpK~@K]}b@Jw@k\B?`Bw_[\B,537,Z3016193078,1907006-Y10-02,I16,10,10,C6H5F2NO3S,COc1nccc(S(F)(=O)=O)c1F,209.1706,95,27521095,0,Achiral,None,3-fluoro-2-methoxypyridine-4-sulfonyl fluoride,"1,74","-1,562",0,4,"56,26",2,8.010335917,4.571428571
fha`S@KXIxHHb@PbPpJRVIJESRRiX@JibAd@ !B}Sg|bHa}_[^w@ox@m?vw@k\Bmww~@H`BbOw~@H`BmpH,538,Z8017388819,1907006-Y10-02,J16,10,10,C9H11ClFNO4S,N[C@@H](Cc1cccc(S(F)(=O)=O)c1)C(O)=O.Cl,283.7043,95,27521095,36.4609,Single known enantiomer,None,(2S)-2-amino-3-[3-(fluorosulfonyl)phenyl]propanoic acid hydrochloride,"-1,393","-2,377",2,5,"97,46",4,-0.645994832,-3.936507937
foA`a@EHp@HaHYIIXheEeKQkRp@@D@@@ !B@O{~@G?~?g~w_Xa}?g~w@oy?m?vH?[]}mpK~_p,539,Z2738688450,1907006-Y10-02,K16,10,10,C10H8FNO2S,Cc(c1ncccc11)ccc1S(F)(=O)=O,225.2394,99.42,27521095,0,Achiral,None,8-methylquinoline-5-sulfonyl fluoride,"2,851","-2,75",0,3,"47,03",1,7.826086957,12.08791209
f`qa``MHqx@QBPMHVdLddlRTrdhiZ]K@AURP@@ !B_Xbw?_rwbOrH?_x@bOrH?Ox@XFU`Fhc}s\|lF@C~,540,Z3333543565,1907006-Y10-02,L16,10,10,C8H4F3NO3S,O=C(C1(F)F)Nc(cc2)c1cc2S(F)(=O)=O,251.1825,93,27521095,0,Achiral,None,"3,3-difluoro-2-oxo-2,3-dihydro-1H-indole-5-sulfonyl fluoride","2,609","-2,711",1,3,"63,24",1,-0.066889632,-2.442002442
fbuPR`CVQ`c`ADIBL`fPsHYIIUDeeDliIJ]zV`@ffjH@@ !BShB?ScF?`CDlFLwP`CDlFBpX`CDlF@C~YV@ZXA`l?`C~@@C~_?x,541,Z3919177208,1907006-Y10-02,M16,10,10,C9H4F4N2O4S,O=S(Oc(cc1)ccc1-c1n[o]c(C(F)(F)F)n1)(F)=O,312.1977,100,27521095,0,Achiral,None,"4-[5-(trifluoromethyl)-1,2,4-oxadiazol-3-yl]phenyl sulfurofluoridate","0,934","-4,1",0,4,"82,29",4,9.431438127,-3.052503053
f`q`a@FHp@HaHYIIThheEmV]zVj`bB@@@ !B?g}??`C~?`Bw?Ox@mpJH@ox@m?w~@K\Bb@Jw@k]},542,Z2855073344,1907006-Y10-02,N16,10,10,C11H14FNO2S,O=S(CCN(CCC1)c2c1cccc2)(F)=O,243.2978,100,27521095,0,Achiral,None,"2-(1,2,3,4-tetrahydroquinolin-1-yl)ethane-1-sulfonyl fluoride","2,779","-2,471",0,3,"37,38",3,-6.010568032,-3.315649867
dcODPJXTp@bICIIKDhYprsUT`@ !BFa}`FfU`GvUeGv\l_?ygT?x@m?rH?@,543,Z3016193067,1907006-Y10-02,O16,10,10,C5H8FN3O2S,CC(C)[n]1ncnc1S(F)(=O)=O,193.1993,98.8,27521095,0,Achiral,None,"1-(propan-2-yl)-1H-1,2,4-triazole-5-sulfonyl fluoride","0,32","-1,439",0,4,"64,85",2,6.274768824,0.132625995
f`aAQ@DXMYp@bDaddebbVRbdjV@`ih@@ !B_?{~_pC~?`Bw@h`B?`Bw__x@b@JH@ox@?`BH_X`B,544,Z4561806647,1907006-Y10-02,P16,10,10,C9H9FO5S,Cc(cc(c(C(O)=O)c1)OC)c1S(F)(=O)=O,248.2282,100,27521095,0,Achiral,None,5-(fluorosulfonyl)-2-methoxy-4-methylbenzoic acid,"2,542","-2,273",1,5,"80,67",3,9.796437659,8.972972973
fleaa@MHqD@QBPrRRqISJQRpTcAe`@jjfH@@ !B@hbw?GvwbOvH?Oy?bOvH?_y?bOrH?Xc}mGbK^Oy?bOrw?Xc},545,Z3333540601,1907006-Y10-02,A17,10,10,C13H16FNO3S,CC(C)(CC1)c(cc(cc2)S(F)(=O)=O)c2N1C(C)=O,285.3344,100,27521095,0,Achiral,None,"1-acetyl-4,4-dimethyl-1,2,3,4-tetrahydroquinoline-6-sulfonyl fluoride","2,972","-3,23",0,3,"54,45",1,12.35573659,4.907539118
dcnDpFS@BHdJBLddlRrgBnrtuTp@@ !BTq`XKF]SKF\@?fT_Fa|XT?y??[\Bmp,546,Z3031940338,1907006-Y10-02,B17,10,10,C6H6FNO2S2,O=S(c1nc(C2CC2)c[s]1)(F)=O,207.2457,95,27521095,0,Achiral,None,"4-cyclopropyl-1,3-thiazole-2-sulfonyl fluoride","1,877","-2,33",0,3,"47,03",2,6.26223092,7.438016529
fncPQ@MNQ`e`ADICIIJhdleMDeIiJSfV`@ijjjJFZ@@ !B_?{~_pC~?`Bw@k]}?`Bw@k_|?`Bw?Ox@b@Jw@ox@mwvw@k\Bm?wB|MwpmpH,547,Z4332082076,1907006-Y10-02,C17,10,10,C15H21FN2O4S,CC(CC1)C(C)(C)CN1C(Nc(cc1)ccc1OS(F)(=O)=O)=O,344.4016,95.03,27521095,0,Racemic or presumed racemic or meso,None,"4-[(3,3,4-trimethylpiperidine-1-carbonyl)amino]phenyl sulfurofluoridate","1,831","-4,091",1,3,"75,71",3,30.91976517,20.27972028
fakQa@INQ`p@bDaddebRftrbbbQDjNV}e`BIj`X@`@@ !BGvTZGv@ZYVATaM~fYVAeXERDwzYeXM~fUHQeXA|ZKAc~@K_}Tq`@?k_|m?rw_P,548,Z4020044823,1907006-Y10-02,D17,10,10,C17H15FN2O3S,Cc1cc(cccc2)c2[n]1CC(Nc1cccc(S(F)(=O)=O)c1)=O,346.376,95.78,27521095,0,Achiral,None,3-[2-(2-methyl-1H-indol-1-yl)acetamido]benzene-1-sulfonyl fluoride,"4,683","-4,072",1,3,"68,17",4,28.49774339,30.56856187
fhi`Q@MHpRp@bDaddeTRVRfde^CKP@TuD@@ !BbOpBmwvHmww~_{]}bGw~_?y?bGw~_{]}mpK~_wvw@k\,549,Z3919191441,1907006-Y10-02,E17,10,10,C10H10FNO4S,O=C(C1CC1)Nc(cc1)ccc1OS(F)(=O)=O,259.2541,100,27521095,0,Achiral,None,4-cyclopropaneamidophenyl sulfurofluoridate,"0,169","-2,974",1,3,"72,47",4,22.69503546,5.551839465
f`aPb`NJQ`@QBPmHNdORFRRUJIKJQViZ`@j`@@ !B_?{~_pC~?`Bw@ox@mpJH@ox@?`BH@ox@?`@@?g?~,550,Z4580652436,1907006-Y10-02,F17,10,10,C7H6F4N2O2S,O=S(CCc1ncc(C(F)(F)F)nc1)(F)=O,258.1934,96.55,27521095,0,Achiral,None,2-[5-(trifluoromethyl)pyrazin-2-yl]ethane-1-sulfonyl fluoride,"0,649","-0,958",0,4,"59,92",4,13.00070274,11.46454606
fi{HQ@MNrUFBV@DPdLddjbRrTtRVbVdjJV}eh@JZjjVJaF`@ !Bwyffw|Bff\@_Fklkf\@_Fa|Zf\@_Fig@aEP_FfU`YuM??f\lTqa??ai`YVAgKOx@,551,Z4345084887,1907006-Y10-02,G17,10,10,C15H17FN4O4S,Cc1c[n](C(CC2)CN2C(Nc(cc2)ccc2OS(F)(=O)=O)=O)nc1,368.3833,100,27521095,0,Racemic or presumed racemic or meso,None,4-{[3-(4-methyl-1H-pyrazol-1-yl)pyrrolidine-1-carbonyl]amino}phenyl sulfurofluoridate,"-0,413","-3,225",1,4,"93,53",4,4.708362614,6.030483764
dknDHJS@BHdMdCdLddlRRtFYX@J`@@ !B?[^H_PJHmpJw__x@mpJw@ox@?`Bw@h`B,552,Z2986801414,1907006-Y10-02,H17,10,10,C6H4F3NO2S,O=S(c1nccc(C(F)F)c1)(F)=O,211.1617,98.41,27521095,0,Achiral,None,4-(difluoromethyl)pyridine-2-sulfonyl fluoride,"1,316","-1,832",0,3,"47,03",2,-14.12508784,10.00662691
fdyac@EHpX@QBP\DYIIUDeeMDiJCFVjjffi@@ !BbGu}mpJHmpJw_[\B?g~w_[]}?g~w_[\B?g|XTv]SYQ|ZGp,553,Z3488656912,1907006-Y10-02,I17,10,10,C11H14FNO3S2,O=C(c1ccc[s]1)N1CCC(CS(F)(=O)=O)CC1,291.3622,100,27521095,0,Achiral,None,[1-(thiophene-2-carbonyl)piperidin-4-yl]methanesulfonyl fluoride,"0,928","-2,835",0,3,"54,45",3,12.53229974,0.761904762
dmvDPJS@BHdLddlRbEYX@`@@ !B@k^H@ovHmww~_{\Bmwvw__x@mpH,554,Z2432909602,1907006-Y10-02,J17,10,10,C6H6FNO2S,Cc1cccnc1S(F)(=O)=O,175.1807,95.08,27521095,0,Achiral,None,3-methylpyridine-2-sulfonyl fluoride,"1,62","-1,518",0,3,"47,03",1,10.07751938,8.253968254
fleaa@AHpX@QBPrRRjIJZFIJVhiejji`@bEJ@@ !BmpHBbOvwbGw~_xc}m?w~_?y?bOvw?_y?bOrH?_x@bOrH@ox@,555,Z2867514955,1907006-Y10-02,K17,10,10,C13H16FNO3S,O=C(c1ccccc1)N1CC(CS(F)(=O)=O)CCC1,285.3344,95,27521095,0,Racemic or presumed racemic or meso,None,(1-benzoylpiperidin-3-yl)methanesulfonyl fluoride,"1,152","-3,083",0,3,"54,45",3,11.97324415,7.203907204
